173416 124543 0 0
0 0 1226466 162066
563988 747969 0 0
651128 737404 0 0
0 0 162066 62332
氯 0 20 0 0
侮 23 6 3 0
嘶 3 3 0 0
家 1726 1815 11269 550
弹 97 141 663 1
纸 35 240 409 33
刻 117 159 492 0
炼 24 74 175 0
乃 81 76 0 9
观 1635 272 1179 24
浅 5 93 1 9
廷 0 69 136 14
揆 0 6 3 0
蝉 13 3 0 0
屏 51 49 3 0
卑 13 26 0 0
瓶 0 129 0 0
街 221 193 163 4
毖 0 17 0 0
余 140 715 460 20
付 118 140 256 0
扛 0 12 0 0
跚 0 7 1 1
惜 0 33 247 0
章 96 308 696 71
另 378 548 0 0
革 1010 128 3936 162
雨 30 288 122 5
痪 0 0 34 0
赓 0 7 16 0
修 706 382 335 57
顷 0 10 28 0
役 0 57 75 5
绸 6 22 78 22
煽 55 5 0 0
较 369 917 806 0
葩 0 0 3 0
舆 214 1 0 0
月 74 1057 8870 210
宋 176 316 10 0
碍 4 17 275 0
匐 0 0 1 0
递 134 53 40 0
优 1958 196 120 51
谚 7 7 0 0
肝 31 26 0 0
斟 0 12 0 0
窄 0 30 20 0
粥 0 7 0 2
在 837 31903 4761 100
琪 0 31 1 0
袭 228 67 70 0
涯 0 11 30 2
花 633 1110 348 75
脉 33 36 39 4
娶 0 20 7 0
纹 0 42 8 1
缸 0 20 1 1
去 3312 2000 2249 6
尺 24 44 16 3
炽 9 8 0 0
礴 0 6 7 0
促 1165 62 103 21
桂 58 113 0 10
资 4603 97 2831 625
濂 0 3 1 0
蝈 0 8 0 0
摊 108 73 8 7
芹 0 10 8 0
畔 0 45 0 0
猸 0 8 0 0
仙 17 109 1 1
潘 29 130 7 1
嫡 1 3 0 0
筠 0 4 6 0
燧 0 4 1 0
毫 254 28 39 0
路 657 808 1880 141
贼 0 6 0 0
英 1252 515 93 58
柳 44 97 2 0
整 1442 139 858 16
究 106 36 2747 882
淄 11 9 0 0
都 24 5621 861 50
兼 93 332 0 12
百 474 552 2179 1643
谅 59 17 28 0
址 0 36 82 0
笋 0 4 16 0
砍 0 125 0 0
刑 211 136 0 0
炒 7 16 0 0
吕 83 129 0 0
碘 0 14 0 0
丙 0 72 0 0
” 0 17741 0 0
膜 1 52 127 0
宠 0 7 1 0
榆 21 9 0 0
瘩 0 0 7 0
贯 557 31 128 14
亮 17 290 124 0
舱 0 31 1 0
掰 0 7 0 0
育 105 168 3645 201
戟 0 15 0 0
夷 0 27 0 2
医 1637 213 225 17
难 1291 749 1171 65
酋 20 18 0 0
诀 8 4 9 0
裂 13 48 80 6
荷 180 45 27 1
拆 74 149 0 0
筋 0 21 38 0
惶 9 6 0 0
黎 557 136 324 72
剑 8 95 0 2
瑕 1 6 0 0
量 44 490 4672 6
乙 29 26 0 0
还 2169 4873 173 24
焚 3 22 0 0
仑 0 14 25 5
履 132 29 0 0
照 618 231 784 0
齐 224 239 102 69
险 30 152 619 47
烽 16 9 1 0
哪 301 203 0 0
寓 23 44 0 0
婿 0 8 17 0
杳 3 4 0 0
葵 0 18 1 0
轿 0 31 0 9
壕 0 16 0 0
琵 5 0 0 0
遽 0 3 0 0
长 1892 1439 6502 278
盾 0 7 441 0
趁 0 39 0 0
漂 41 55 0 0
暇 0 28 9 0
窨 0 2 0 0
希 1499 272 3 5
骏 14 22 7 0
躬 0 6 10 10
疑 79 65 216 39
吐 15 52 35 0
邓 384 87 0 0
厕 0 43 0 0
枝 19 84 22 0
唱 75 309 168 0
隧 32 0 0 0
锦 250 107 0 53
菩 8 3 0 0
沫 0 16 10 14
猪 30 176 70 6
戴 88 142 33 2
康 120 164 450 2
禹 1 35 0 0
砸 4 30 0 0
钻 78 79 0 0
势 244 147 2002 24
汀 0 8 3 2
紊 6 8 0 0
毅 61 90 95 66
橄 5 0 0 0
坠 13 22 0 1
峋 0 0 4 0
忍 46 49 28 0
幌 0 10 2 0
奎 0 40 23 56
呐 12 3 4 0
青 2044 305 87 224
剔 8 2 8 6
仗 1 38 33 0
赖 4 51 109 11
拟 40 73 53 0
巡 115 38 0 0
屠 30 10 0 6
形 2795 187 149 37
寥 19 2 11 6
啦 0 58 0 0
鞋 7 167 4 1
若 137 355 59 2
俭 0 32 163 59
蹬 0 24 0 0
旱 50 104 62 0
想 495 1172 2757 30
椒 0 23 14 0
绷 0 8 0 0
姹 2 2 0 0
勿 0 26 0 0
洁 22 105 33 75
赁 0 1 208 24
愉 107 14 0 0
铭 15 99 53 2
猖 20 0 0 0
咐 0 0 12 0
垒 0 28 30 0
猕 0 15 0 0
渗 56 14 0 0
扮 28 13 23 0
朝 630 234 55 262
舟 1 56 19 0
锚 0 9 8 0
骤 8 36 138 0
储 297 75 24 0
京 111 388 3346 678
祠 0 9 3 0
撰 103 18 0 0
耳 39 148 5 159
茵 0 12 3 28
粟 0 11 1 0
帷 7 3 0 0
夹 17 64 0 0
吻 10 15 0 0
嚼 0 4 5 0
爿 0 2 0 0
饴 0 1 0 0
流 967 570 774 120
桃 0 42 18 1
菊 0 89 5 4
潍 16 3 0 0
屋 32 107 159 9
噶 0 4 0 9
镑 0 0 57 0
铐 0 3 4 0
道 1111 628 3492 317
单 2607 294 302 31
度 69 468 4803 85
跖 0 2 0 0
棘 20 12 0 0
葛 36 56 5 23
诚 144 70 260 9
畜 137 57 65 0
嗦 0 12 0 0
部 5665 1086 7516 1391
豫 1 41 36 0
只 2463 1174 66 3
潭 0 27 26 6
们 0 2096 13644 0
侩 0 0 1 0
恳 22 33 26 0
拴 0 11 0 0
她 233 1874 0 0
寺 50 73 10 0
盼 31 28 5 0
剿 3 5 17 0
苔 0 6 2 0
沁 3 31 5 0
瘁 0 0 9 0
贪 44 32 0 0
悉 9 13 270 0
愈 24 126 57 17
戊 0 2 0 0
， 0 193592 0 0
宏 262 111 25 5
唐 102 279 1 0
侗 17 3 0 0
裘 4 13 0 0
怅 2 0 8 0
薛 29 51 0 0
蜜 3 43 19 0
素 431 173 482 15
骥 0 12 2 0
瞧 6 31 2 0
否 490 14 509 0
爪 0 8 0 0
亭 4 88 12 1
讯 0 1748 392 321
抵 536 99 13 3
德 241 1385 1193 960
夸 33 53 0 4
喻 6 24 21 20
隽 8 2 0 0
眼 460 279 191 3
县 847 2382 1381 0
逾 12 52 0 7
捣 6 7 0 0
蹂 6 0 0 0
摆 193 208 4 0
慈 7 38 31 14
绍 24 81 839 49
档 87 41 91 0
哑 0 37 3 8
迢 1 14 0 0
脏 7 42 33 15
俗 8 58 211 12
裙 1 23 0 0
杜 56 150 5 77
峡 17 68 116 0
幢 0 67 0 0
童 13 123 378 2
孤 125 45 0 7
韧 0 8 18 10
全 9307 980 1663 622
淫 0 10 3 0
剪 81 35 13 0
佬 0 6 0 12
误 85 74 708 0
数 1134 433 1547 232
至 655 1120 845 25
祸 1 23 14 0
闻 114 122 1100 166
空 898 401 493 41
国 14954 2613 27123 1486
灾 151 139 135 48
谁 42 495 0 2
把 117 4636 0 12
盂 3 9 0 0
碎 1 57 68 4
向 241 3569 1563 110
盅 0 11 1 0
众 234 102 2729 107
果 202 238 3292 26
挟 0 14 0 0
红 320 670 95 77
娥 0 13 1 0
室 160 309 655 0
闪 70 64 3 0
钦 28 31 20 8
倩 0 9 0 0
熨 0 3 0 1
贫 643 41 269 89
努 1287 91 0 126
中 15725 11127 3089 1955
萱 0 4 4 0
新 9435 5252 1145 106
舵 0 11 0 0
蹈 0 10 155 3
画 363 418 403 29
怜 0 3 20 0
豁 11 36 0 0
淀 0 24 27 0
评 1091 194 725 17
蝇 0 1 6 0
蛾 1 10 0 0
懈 0 15 68 13
忌 0 42 16 6
魏 25 96 0 0
风 1051 754 914 102
盒 13 44 11 0
叔 13 18 14 11
佗 0 0 3 0
衙 0 15 0 2
敛 0 3 8 0
柜 1 97 10 0
损 603 61 233 2
胞 0 50 362 0
屡 22 55 7 0
绢 0 12 0 0
瓦 108 339 316 144
赫 49 125 36 41
约 240 877 1684 33
獗 0 0 8 0
森 269 197 53 13
葱 7 18 7 6
曲 135 274 351 21
援 265 105 279 12
彷 3 2 0 0
项 1306 1949 1716 0
秸 21 3 0 0
竺 0 5 4 0
白 575 529 286 66
卿 0 19 120 0
鲁 218 276 89 416
撇 0 13 0 0
莉 1 26 4 1
戈 242 125 111 5
脊 4 25 12 0
阐 122 0 0 0
冕 0 15 1 0
途 279 37 310 13
搜 79 20 0 0
悟 13 30 82 0
御 5 36 106 0
索 85 352 510 4
妥 120 28 17 0
堤 8 42 15 0
钧 0 27 21 0
玩 74 93 8 21
刨 0 22 0 0
享 258 49 13 0
吆 5 15 0 0
谬 6 22 0 0
梯 8 42 21 0
肉 41 179 104 33
芳 8 179 44 1
鳟 0 1 0 4
容 329 162 1041 51
示 199 118 1942 4
琼 0 58 46 11
匾 5 13 1 0
迁 23 94 36 4
驴 2 33 0 1
赂 0 0 4 0
觅 0 20 21 0
濡 0 4 0 0
杆 0 67 23 0
揉 0 9 0 0
扈 2 3 0 0
腊 16 32 152 0
限 586 91 482 80
燕 32 95 5 3
泗 1 14 0 0
毙 3 13 25 0
蛛 0 27 0 0
楚 30 88 213 4
惟 0 11 0 8
捞 1 77 0 0
忡 0 0 9 9
竣 53 1 0 0
姥 3 0 3 0
铧 0 4 4 0
坦 247 122 869 68
叩 0 11 0 0
殴 0 9 7 0
武 1410 356 127 315
柱 0 63 95 2
俩 0 90 0 0
拳 30 32 10 0
敲 11 67 9 0
懵 0 7 0 0
对 3163 10424 2213 258
饺 10 0 0 0
闽 3 40 0 0
呼 606 120 23 6
獾 0 1 0 0
企 5584 25 25 648
耻 0 31 0 2
涂 26 108 47 0
椅 13 33 23 0
辗 12 5 0 0
按 668 844 35 0
膊 0 0 22 0
隐 29 79 0 0
焕 46 57 1 19
炔 0 0 2 0
辖 0 31 33 103
莞 0 0 5 10
纠 392 23 0 0
娣 0 7 6 0
颤 28 14 0 0
吧 0 256 7 0
垦 33 23 55 0
猩 0 6 1 1
动 1115 354 6947 1322
购 442 215 315 19
议 886 149 6271 216
朱 168 271 4 0
刽 3 0 0 0
肴 0 0 28 0
诈 0 25 0 9
骸 1 5 11 0
阻 195 74 49 0
逞 0 3 16 0
什 1270 119 26 364
摇 38 60 62 0
捉 0 25 39 7
懊 1 1 0 0
杉 0 22 0 23
鳌 0 4 0 4
弛 0 1 19 0
坑 17 78 11 0
盐 36 84 6 5
踢 13 37 0 0
汗 28 73 593 5
歙 2 0 0 0
窥 2 12 0 0
敝 2 4 0 0
巢 0 25 0 0
祥 0 206 39 16
壤 0 16 146 0
韦 33 93 101 14
琦 0 46 5 0
赭 1 0 0 0
曰 0 33 0 0
艳 0 68 52 1
慵 0 2 0 0
筹 225 27 132 10
登 371 204 203 1
哼 3 10 3 0
避 213 95 61 46
躁 0 8 18 0
茁 3 1 0 0
殃 4 5 0 0
截 132 66 25 7
梅 35 299 130 68
文 5611 1236 883 811
昆 163 46 46 0
抉 17 3 0 0
纭 0 4 0 4
律 78 43 2228 313
鲍 7 34 0 1
福 403 304 170 25
税 379 303 434 16
皑 0 4 3 3
炕 13 7 0 0
世 2970 291 338 437
舞 320 161 182 55
张 459 1821 898 72
宣 1685 75 0 29
喧 11 21 1 0
瘦 33 38 0 0
助 156 113 1549 163
倪 8 42 10 0
贬 36 24 0 0
缉 7 19 0 0
嘲 7 10 0 0
鸶 0 0 1 0
瞻 20 16 4 2
钽 0 5 0 0
仁 5 224 153 0
颓 8 6 0 0
求 134 275 3464 255
装 535 293 815 292
柠 5 0 0 0
拉 451 1243 427 1805
聊 20 23 0 5
嵌 0 9 13 0
耘 0 1 24 0
监 688 114 9 0
坐 51 285 38 0
兔 9 135 2 1
湖 589 302 59 0
遥 68 26 6 5
蓝 65 77 11 0
迫 205 42 173 16
杰 148 211 41 14
腴 0 0 6 0
巷 0 66 4 7
并 619 4082 47 4
竹 35 191 27 5
倾 215 65 8 0
啼 8 7 0 0
凿 0 27 0 0
丁 1 259 13 31
沂 0 48 0 1
栅 0 3 0 3
榄 0 0 5 0
孔 66 142 3 6
授 190 41 588 15
弋 0 4 9 0
掖 10 6 0 0
夏 156 221 117 2
〕 0 17 0 0
洗 114 218 8 0
望 6 374 1934 8
萝 14 5 0 0
斜 6 30 22 0
感 1528 398 490 38
鸡 28 156 38 2
鬣 0 1 0 0
鲢 2 0 0 0
利 2990 799 2944 1637
厨 51 5 0 0
伫 8 0 0 0
邪 11 12 0 8
谭 26 38 0 0
悚 4 0 0 0
蒲 8 25 0 0
氟 0 13 0 0
晰 0 4 55 0
宸 0 3 34 0
圻 0 5 4 0
疼 16 27 13 0
儿 500 322 556 163
激 758 46 123 0
衅 0 3 34 2
规 2807 65 368 251
扉 4 3 0 0
惊 133 87 58 0
籍 0 142 221 0
奏 23 68 153 4
卓 102 43 0 6
燔 0 2 0 0
他 5024 9678 878 3
橙 0 10 0 0
棚 2 47 15 0
苞 0 2 3 0
幡 1 4 0 0
翠 15 30 6 2
季 170 150 229 2
秤 0 25 1 0
物 1601 395 2143 195
叨 0 9 4 0
缚 0 4 59 0
致 628 241 855 129
延 304 85 81 5
驹 0 21 0 0
寸 1 26 25 0
命 320 129 1557 141
睐 0 2 15 0
勾 15 22 0 0
退 365 203 139 42
璃 0 7 101 45
瞅 0 11 0 0
骇 0 6 0 1
弊 76 46 28 0
舌 0 30 10 0
催 13 55 0 0
且 11 90 1307 0
疙 7 0 0 0
宝 182 398 51 102
娜 0 117 2 32
麟 0 21 26 0
谨 43 29 26 12
炫 9 3 0 0
伪 64 46 15 0
爬 0 85 0 1
键 17 10 354 15
岳 42 59 5 0
徵 0 5 0 0
芷 9 4 0 0
方 5838 580 4804 1068
机 3539 810 2466 262
讽 0 38 0 0
亿 39 822 695 54
派 375 651 550 1
铃 17 31 6 10
附 323 104 1 0
屈 55 62 13 7
惋 13 1 0 0
圹 0 2 0 0
泓 0 6 0 16
乔 56 151 1 248
狗 3 41 0 0
员 0 499 7983 2146
坚 2866 65 14 27
寝 0 11 0 8
统 2491 137 3370 67
换 57 285 416 18
查 267 334 2302 68
晤 0 9 221 7
烫 3 25 0 0
班 235 425 444 401
盯 0 36 0 0
念 32 98 1330 73
年 2707 6548 15983 1069
摸 86 99 1 0
诽 7 1 0 0
仿 83 43 23 0
邀 452 34 123 0
球 121 526 915 221
厂 1105 1833 1851 1
的 430 142508 2140 141
娇 4 21 1 0
馆 17 278 879 0
羊 52 171 28 6
昏 15 26 20 0
转 1084 529 429 5
谓 0 33 368 0
懂 143 145 6 1
五 1517 1633 1308 789
列 654 226 1168 276
错 599 115 144 14
确 953 159 1366 21
窜 0 22 15 0
鸟 1 144 5 2
悠 93 5 11 0
探 622 122 97 0
贩 78 28 44 4
篆 17 8 0 0
垄 47 8 0 0
疮 0 2 0 2
失 776 259 638 20
碰 50 53 1 0
户 70 725 975 45
改 6329 483 299 30
蒸 9 57 0 0
螺 6 19 0 0
趾 0 6 0 0
允 300 15 1 66
参 3203 127 79 51
雄 125 101 235 1
姆 0 227 181 24
配 683 450 450 16
恋 36 48 2 0
蓦 5 2 0 0
捍 30 1 0 0
拌 0 4 7 0
虏 0 0 31 0
毒 103 72 182 11
何 336 306 1227 48
仔 52 32 0 0
奸 0 7 35 0
留 415 362 372 11
孝 12 59 11 89
州 11 481 1213 161
惠 24 139 202 52
董 81 95 0 0
来 2290 4572 7631 620
触 88 27 283 0
浩 17 83 16 28
注 1084 100 222 87
火 479 500 430 97
迪 31 193 68 61
独 766 188 104 15
谏 0 7 0 0
问 6638 573 1815 81
饱 44 64 71 0
声 853 640 443 43
米 48 959 621 173
酉 3 3 0 0
维 1065 578 136 144
湿 15 36 8 0
疃 0 1 1 0
隅 0 10 0 0
霄 0 9 35 0
宇 118 75 31 0
堆 34 125 16 0
粉 94 122 11 6
憋 1 9 0 0
鏖 8 0 0 0
萎 0 23 2 0
褐 10 4 0 0
井 44 289 69 14
演 1050 174 387 28
咙 0 0 3 0
甘 233 113 46 14
窝 3 53 0 1
龟 1 25 0 0
股 428 256 53 0
质 1165 180 1697 149
个 1563 7622 9658 122
碱 3 19 16 3
〉 1 19 0 0
纵 151 44 19 4
缴 105 40 77 0
获 1130 447 313 0
耶 19 93 5 50
攸 0 11 0 2
榻 0 11 4 0
俞 1 21 0 0
厮 5 1 0 0
便 172 693 589 8
嘴 36 108 3 4
郁 20 36 29 6
荡 2 68 92 6
剂 7 132 71 0
雅 75 177 30 23
篇 51 349 111 76
渍 0 16 0 0
鹊 0 7 3 0
拍 102 164 35 0
柏 53 52 19 6
滕 57 27 0 0
受 1411 719 1362 3
簸 0 1 12 0
啥 0 82 0 0
孜 1 47 6 1
翟 1 30 0 0
属 296 246 618 0
胡 221 301 6 4
缺 630 272 206 0
狭 20 26 0 0
饰 0 45 115 4
绵 32 14 14 0
恶 191 84 32 5
智 254 185 107 41
歼 24 29 15 0
、 0 44180 0 0
冀 3 41 4 9
阅 83 53 76 0
瞄 14 6 0 0
领 4780 188 596 64
尉 2 8 0 0
床 24 119 189 3
舍 24 106 174 15
掌 411 44 29 1
树 353 473 323 37
丕 0 8 0 73
北 4352 492 1007 302
喘 2 15 0 0
宜 21 94 228 18
弟 37 40 156 36
怡 2 26 4 0
抢 219 180 14 0
春 658 524 422 38
欧 1149 278 447 0
梦 41 173 5 12
涨 103 44 135 0
溪 0 110 16 12
媲 13 1 0 0
讼 0 84 1 0
沾 8 27 0 4
净 25 124 38 7
啃 0 14 0 0
狂 52 89 15 0
际 2 42 4083 306
魇 0 1 1 0
屉 0 4 10 0
母 145 162 135 17
廊 0 37 47 0
才 706 1031 874 73
菌 0 57 31 4
擎 0 5 6 0
桑 12 111 47 218
鸦 10 5 0 0
浓 96 99 0 0
返 118 86 58 6
南 2385 1059 1396 535
鲟 0 18 0 0
囚 0 12 1 0
鳞 0 13 0 1
凑 0 46 2 0
散 138 185 199 16
拢 0 23 9 0
歧 66 15 137 0
跨 50 183 0 0
八 880 878 599 709
仪 385 98 5 2
召 850 19 167 0
坯 0 8 6 0
哮 0 1 5 0
称 521 294 299 13
捷 131 147 44 1
胶 28 120 65 11
摹 0 13 9 0
烟 160 195 88 8
使 1152 3898 1129 83
泾 3 3 0 0
刀 0 148 21 43
鄂 12 48 0 4
各 5761 2115 6 128
颇 35 175 2 0
笆 0 1 3 0
徉 0 0 3 0
师 371 352 1175 79
芋 0 1 1 0
奖 560 417 342 16
而 1549 4161 1264 206
。 0 99933 0 0
气 934 480 948 172
化 865 763 6989 454
嘘 0 8 0 0
媛 0 7 20 0
甚 571 130 0 10
偌 10 0 0 0
甄 1 10 0 0
斥 3 50 1 0
梧 0 18 3 0
辩 118 22 30 4
劫 1 39 46 0
洪 65 299 40 21
箱 21 125 130 5
溉 0 0 60 1
纳 269 429 339 146
尴 3 0 0 0
· 0 2018 0 312
茶 111 142 15 0
格 159 418 1966 310
沿 312 111 60 2
漾 0 13 0 0
病 380 428 291 26
傍 26 7 1 0
职 2578 177 533 44
李 831 1251 35 5
译 23 173 179 0
仓 98 60 1 4
郗 2 0 0 0
卖 10 391 155 13
嘎 2 7 0 0
锻 114 10 0 0
糟 15 12 2 0
握 43 42 395 0
窑 0 58 0 2
慢 46 94 92 0
日 3426 1189 9213 409
警 337 165 285 0
往 556 317 1025 1
浪 295 94 47 77
凭 2 178 54 0
篱 3 4 0 0
驰 16 54 8 1
绳 17 58 0 1
饲 168 5 0 0
蟹 0 36 2 0
弘 9 5 8 0
犀 5 4 0 0
锅 66 67 4 61
咄 1 12 0 1
） 0 5819 0 0
肌 16 22 3 0
搏 32 70 23 0
檐 0 11 7 0
专 3066 205 123 83
沔 0 13 0 0
逗 15 17 0 0
疚 0 5 5 0
颜 70 58 1 2
羞 7 14 0 1
挡 0 36 12 0
撤 569 52 2 0
漩 4 0 0 0
亨 3 39 14 0
别 394 277 2480 24
炬 0 21 0 0
启 194 112 1 87
垮 7 25 1 0
鸳 15 1 0 0
涟 6 3 0 0
跋 20 7 0 6
补 436 235 173 21
达 1236 1745 1085 340
十 3836 1006 3184 3240
憨 4 3 0 0
畅 149 66 56 0
哄 14 32 0 4
密 444 199 403 24
终 480 110 321 0
手 1260 860 1729 66
蛙 0 30 1 0
背 155 195 142 0
翌 6 4 0 0
乓 0 1 41 154
角 258 191 132 28
隆 17 143 119 1
泔 0 2 0 0
遗 364 71 8 7
取 1842 333 2316 8
静 43 141 179 70
盘 6 273 219 18
祝 246 142 130 6
锤 0 11 0 4
捡 0 20 0 0
鳊 0 1 0 0
详 92 15 9 0
佩 117 93 54 148
滨 0 43 137 52
六 887 1122 739 497
矮 3 23 5 0
筱 0 12 0 0
平 1932 754 3199 340
揶 2 0 0 0
旺 53 96 74 34
棼 0 9 0 0
俾 2 1 0 0
犁 3 13 20 0
匀 0 8 12 0
适 1126 57 124 2
锄 8 6 0 0
妇 749 48 179 4
（ 0 5789 0 0
尊 384 72 26 23
缔 30 41 0 0
明 1380 855 3984 156
琐 5 20 3 0
输 207 122 462 23
薯 0 21 20 0
姘 0 2 0 0
隙 0 18 15 0
缅 49 8 0 0
额 17 167 928 35
夜 158 263 191 4
挠 0 1 35 0
亩 49 699 37 0
玫 21 3 0 0
炭 0 45 212 0
兀 0 1 4 0
阮 7 30 0 0
叭 0 14 1 2
舶 2 2 65 0
暹 36 4 0 0
携 68 27 0 3
举 2752 194 552 49
象 121 938 1699 37
埃 301 210 29 9
遂 0 58 12 0
铅 14 13 0 0
啄 4 1 0 0
穆 262 110 35 12
廉 48 86 1 3
届 37 1208 686 0
腌 0 10 0 0
族 0 137 2469 128
虎 9 111 43 7
法 3727 1548 5215 510
赔 84 9 19 0
剖 34 19 18 0
祜 0 1 1 0
诤 2 0 0 0
恢 540 6 0 0
珂 0 6 0 0
滩 17 62 56 0
轨 102 43 9 0
叫 53 374 80 0
豪 29 137 65 19
热 1220 440 71 27
酬 3 18 75 0
闯 0 71 0 5
扶 421 89 6 0
曹 41 178 0 0
读 595 313 139 0
摺 0 1 0 0
藩 0 4 14 0
楼 102 274 229 10
湾 0 53 781 1
琅 0 8 0 15
善 136 163 1164 34
备 103 128 2339 44
哦 0 29 0 0
很 675 3064 0 0
妖 1 11 0 0
耍 3 21 0 0
漓 9 8 0 0
袒 0 8 2 0
岘 1 0 0 0
筏 1 1 0 0
砝 3 0 0 0
瀛 0 6 1 0
庞 50 30 11 1
莠 0 1 0 2
肢 0 32 23 0
营 478 232 2033 331
斤 0 205 494 0
温 402 304 204 25
侨 104 92 107 0
猫 55 45 47 0
沪 0 91 0 0
冬 281 236 76 0
唯 209 130 0 5
皮 88 298 71 14
娱 82 9 25 0
宰 2 21 16 14
瘟 0 4 0 0
栽 129 83 0 0
贿 4 10 22 0
珀 0 17 2 0
烂 7 57 61 0
嗄 0 1 0 0
奇 156 326 166 12
迩 0 12 6 1
糊 32 18 69 2
恍 3 4 0 0
敏 84 126 70 24
酌 5 8 0 0
体 2928 660 3760 355
棒 0 31 0 0
汕 38 10 0 0
藏 261 184 370 10
酗 13 0 0 0
缥 3 3 0 0
筛 21 7 0 0
硝 16 6 0 0
姜 20 91 0 0
澜 0 37 14 22
绞 0 8 0 0
揠 0 2 0 0
藤 7 33 20 0
筐 0 15 0 0
卫 751 161 389 153
泪 3 97 31 7
灭 27 84 143 0
目 3190 202 2085 84
驱 85 46 18 8
巴 1843 743 176 1042
慷 2 24 0 0
虹 4 34 18 0
死 260 632 14 18
羁 0 4 1 0
邃 0 1 18 0
厅 43 220 221 0
一 21664 17706 4646 2672
蒋 46 81 0 0
融 137 111 399 23
昌 27 235 112 50
豹 0 6 3 0
谐 5 8 61 0
梓 0 17 3 0
写 426 847 277 1
倘 25 15 0 0
岛 41 198 489 13
帜 0 7 52 109
窟 0 15 11 0
患 272 89 35 0
讷 0 3 0 0
接 1859 257 924 44
产 4142 549 6334 4204
账 0 51 10 0
霆 0 2 6 0
鞭 120 20 0 0
犯 459 177 237 0
厉 12 49 92 0
碳 4 33 6 0
宵 10 30 5 4
收 1996 570 935 535
耸 17 11 9 6
治 685 270 2913 1107
挺 10 59 4 0
辽 274 53 0 0
呀 0 106 0 0
织 13 69 3426 268
秉 0 56 0 2
遭 335 104 10 0
苏 2411 954 237 134
慎 55 11 91 0
跑 84 274 38 1
霭 0 4 1 0
毕 547 56 44 2
盗 87 65 10 0
镖 0 0 3 0
博 484 154 51 35
姻 0 3 127 24
竟 68 242 190 0
神 195 268 1383 474
浦 1 45 0 22
表 3324 288 3384 1021
歪 91 17 0 0
短 496 334 208 0
噬 0 1 4 0
煮 0 30 0 0
己 0 110 2669 15
壳 0 58 0 0
署 16 91 516 0
穴 7 16 9 0
泻 0 10 0 0
捺 0 3 0 0
追 445 192 10 0
倔 2 1 0 0
锁 0 66 55 9
咀 5 0 0 0
逃 51 77 5 0
垂 9 44 6 5
包 1419 364 597 141
粗 62 110 3 0
郭 40 273 0 0
萋 1 0 1 0
６ 712 1854 420 2188
服 2147 184 484 28
蚌 0 19 4 0
戏 293 295 58 2
公 5651 535 235 898
栓 0 20 0 0
鄙 0 14 5 0
厚 55 139 183 19
缝 42 58 26 0
府 0 120 4276 222
娟 0 29 33 0
组 3801 577 891 448
蔡 33 124 0 1
挥 42 53 1217 105
护 134 201 1608 160
丧 132 37 0 5
润 5 56 376 0
梨 5 17 0 0
含 196 124 62 9
圭 0 26 25 7
悸 0 2 4 0
掺 2 17 0 0
伽 0 52 0 0
浴 24 23 3 0
镁 0 6 0 0
羡 22 7 1 0
偃 2 10 0 0
寇 0 22 0 0
奉 149 83 8 51
浑 14 46 0 0
囹 0 0 0 2
桓 0 8 3 0
濒 40 8 0 0
彝 0 38 3 0
络 0 45 174 23
恣 6 4 0 0
裨 0 2 0 3
鑫 0 20 4 1
副 154 2085 0 73
燮 0 1 0 25
峰 4 208 127 10
孵 12 2 0 0
时 3601 3920 4674 81
腹 8 63 19 0
胸 55 55 9 0
乾 12 55 1 0
载 48 197 159 23
身 729 437 950 85
销 539 203 731 315
将 281 5087 499 5
斋 0 37 16 0
掏 12 26 0 0
怎 621 44 0 0
焘 0 2 1 0
刚 207 356 147 1
报 4029 709 4888 52
挤 18 163 29 0
侧 67 63 42 0
谦 37 28 221 0
殡 8 4 0 0
疫 29 13 137 1
横 257 137 41 20
环 951 249 115 11
逮 86 4 0 0
粱 0 8 24 0
踉 3 2 0 0
侈 0 2 13 0
脸 63 101 16 0
似 255 109 224 0
访 1384 302 618 11
栾 1 5 0 0
铁 480 322 232 38
镀 0 6 10 1
燃 189 45 16 0
奈 9 43 16 10
旋 97 44 43 0
描 176 29 7 0
赐 0 14 0 0
乒 219 24 0 94
矗 11 1 0 0
烙 0 7 0 0
绝 497 247 305 4
察 26 38 1044 266
塞 56 175 77 189
臣 0 46 144 0
夺 334 125 160 17
拥 442 31 9 1
牧 141 95 147 212
姑 214 49 0 0
痫 0 1 0 3
园 92 212 365 15
缓 374 103 25 0
可 4641 1795 584 354
遮 5 27 0 18
干 3360 603 519 254
惹 0 16 0 0
添 33 81 111 4
艺 1450 87 772 234
份 20 460 478 15
硫 6 13 10 0
诿 0 0 14 0
吁 0 8 442 0
喀 266 95 0 16
皂 0 14 4 0
玄 13 21 1 0
妈 60 40 63 0
茏 0 0 7 0
民 4788 875 8700 2806
互 530 225 362 36
咖 109 1 0 0
候 113 104 792 0
崛 49 1 0 0
帝 97 57 79 18
徜 3 0 0 0
增 5141 359 204 25
酱 4 12 0 0
沦 11 16 0 0
栩 13 1 0 13
甫 0 29 9 0
嘭 1 1 1 0
瞬 36 16 0 15
邮 279 95 16 1
就 2126 6404 474 57
纲 125 116 20 0
宴 248 29 83 0
活 2711 369 2994 124
丽 0 275 198 68
滋 48 38 0 76
直 1201 267 565 54
元 243 2964 1758 42
煊 0 0 11 0
